# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-04-03 01:35:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_data_1.json
# init = 2 (Default)
# random
#   seed = 1273692845 (Default)
# output
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-112-g06679e7e
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.794287
# Diagonal elements of inverse mass matrix:
# 0.460034
-8.79043,1,0.794287,1,1,0,9.17642,0.551046
-8.20012,1,0.794287,2,3,0,8.68398,0.484586
-8.12726,1,0.794287,1,1,0,8.26906,0.474212
-8.69683,0.883539,0.794287,1,1,0,8.71134,0.541978
-9.4361,0.854099,0.794287,1,1,0,9.51642,0.604636
-8.69131,1,0.794287,2,3,0,9.35588,0.54143
-9.20372,0.896034,0.794287,1,1,0,9.31713,0.586867
-8.39563,1,0.794287,2,3,0,9.05761,0.509464
-8.3382,1,0.794287,2,3,0,8.51723,0.502535
-7.87906,1,0.794287,2,7,0,8.31608,0.244172
-7.76669,0.945687,0.794287,1,3,0,8.42655,0.404345
-7.89862,0.898778,0.794287,1,3,0,8.51776,0.240874
-10.0762,0.736961,0.794287,1,3,0,10.8039,0.0992644
-10.3709,0.964249,0.794287,3,7,0,10.6634,0.66444
-10.9447,0.982717,0.794287,2,7,0,11.0163,0.0759028
-7.93794,0.922535,0.794287,1,3,0,11.7576,0.234661
-8.38163,0.840839,0.794287,1,3,0,9.80689,0.5078
-8.43106,0.989304,0.794287,1,1,0,8.57664,0.513603
-8.43835,1,0.794287,2,7,0,8.46515,0.18068
-9.87734,0.821463,0.794287,3,7,0,11.4984,0.634869
-9.34817,1,0.794287,1,1,0,10.0034,0.598083
