# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-04-03 01:35:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_data_2.json
# init = 2 (Default)
# random
#   seed = 1273692845 (Default)
# output
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-112-g06679e7e
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.03357
# Diagonal elements of inverse mass matrix:
# 0.383605
-10.4093,0.714698,1.03357,1,1,0,10.7022,0.666583
-9.24826,1,1.03357,1,1,0,10.3709,0.590388
-9.24826,0.721283,1.03357,1,1,0,10.3559,0.590388
-8.51385,1,1.03357,1,1,0,9.18195,0.522917
-7.82579,1,1.03357,1,1,0,8.30758,0.419524
-7.72609,1,1.03357,1,1,0,7.80778,0.391821
-7.75893,0.990384,1.03357,1,1,0,7.77834,0.402118
-7.70388,1,1.03357,1,1,0,7.75316,0.383752
-8.3469,0.862289,1.03357,1,3,0,8.35278,0.503603
-7.81952,1,1.03357,1,1,0,8.19335,0.418036
-7.96205,0.818815,1.03357,2,3,0,8.83512,0.447377
-8.31912,0.896503,1.03357,1,1,0,8.36708,0.50017
-8.04836,1,1.03357,1,1,0,8.317,0.462069
-8.4551,0.882683,1.03357,1,1,0,8.52108,0.516358
-7.64441,0.978332,1.03357,2,3,0,8.59807,0.318248
-7.70301,0.987669,1.03357,1,3,0,7.70472,0.285652
-7.74184,0.977818,1.03357,1,3,0,7.88455,0.396957
-7.66817,1,1.03357,2,3,0,7.72243,0.300594
-8.09462,0.938824,1.03357,2,3,0,8.18121,0.469316
-7.64856,1,1.03357,1,3,0,7.9927,0.35313
-8.14289,0.885996,1.03357,1,3,0,8.17382,0.476499
