# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = m2x460s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_data_2.R
# init = 2 (Default)
# random
#   seed = 333125408 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
# num_threads = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.804425
# Diagonal elements of inverse mass matrix:
# 0.265206
-14.6632,0.993239,0.804425,1,1,0,15.0112,0.444051
-13.0273,0.889543,0.804425,1,3,0,15.7138,0.691363
-12.9831,0.996492,0.804425,2,3,0,13.0696,0.677514
-13.051,0.969742,0.804425,2,7,0,13.2314,0.600917
-13.1015,0.989619,0.804425,1,1,0,13.111,0.589783
-13.6713,0.76565,0.804425,1,3,0,14.8467,0.768947
-13.3249,1,0.804425,2,3,0,13.6195,0.737937
-13.0322,0.998296,0.804425,2,7,0,13.2876,0.605745
-13.0244,1,0.804425,2,7,0,13.0307,0.690601
-13.1098,0.984643,0.804425,1,1,0,13.1104,0.708666
-13.2189,0.91974,0.804425,1,3,0,13.8654,0.569455
-14.3972,0.862151,0.804425,2,7,0,14.4808,0.811563
-12.9608,1,0.804425,2,3,0,14.1343,0.633487
-12.9749,0.997169,0.804425,1,1,0,12.9751,0.625434
-12.9759,0.999806,0.804425,1,1,0,12.9808,0.624978
-13.1531,0.936184,0.804425,1,3,0,13.4154,0.715795
-13.0508,1,0.804425,1,1,0,13.1363,0.697012
-12.949,1,0.804425,2,3,0,13.0347,0.648757
-13.3902,0.947053,0.804425,2,3,0,13.4019,0.74479
-13.0169,0.953624,0.804425,1,3,0,13.914,0.610064
-12.9542,1,0.804425,2,7,0,13.0046,0.660919
-13.1891,0.805607,0.804425,2,3,0,14.7464,0.574128
-12.9705,0.973275,0.804425,1,3,0,13.3923,0.671906
-12.9747,0.999735,0.804425,2,3,0,12.9776,0.673925
-12.9998,0.995294,0.804425,1,1,0,13.0004,0.683479
-13.8005,0.80813,0.804425,1,3,0,14.5298,0.505294
-13.0155,1,0.804425,2,3,0,13.6489,0.688202
-13.1216,0.980856,0.804425,2,3,0,13.2178,0.710698
-13.2876,0.971652,0.804425,1,1,0,13.2901,0.733723
-13.16,1,0.804425,1,1,0,13.2759,0.716853
-13.15,0.936808,0.804425,1,3,0,13.8334,0.580698
-12.9596,0.998,0.804425,1,3,0,13.1447,0.634309
-13.0618,0.967002,0.804425,2,3,0,13.2092,0.699403
-13.2131,0.991172,0.804425,2,3,0,13.2132,0.724419
-12.961,0.994594,0.804425,1,3,0,13.2276,0.666464
-12.957,1,0.804425,1,1,0,12.9609,0.663484
-12.9522,0.989754,0.804425,2,3,0,13.0384,0.658583
-13.0561,0.919824,0.804425,2,3,0,13.6196,0.599691
-12.9491,1,0.804425,2,3,0,13.0449,0.647871
