# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = m7x462s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_data_4.R
# init = 2 (Default)
# random
#   seed = 2074870182 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.2s_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 fa623df
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,b.6,log_sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,sigma
# Adaptation terminated
# Step size = 0.00300881
# Diagonal elements of inverse mass matrix:
# 6.33835e-05, 0.000176303, 0.00135184, 0.00117156, 0.00296609, 0.000485614, 0.000608854, 0.0522677
-3.22232,0.995741,0.00300881,10,1023,0,8.46992,0.502839,0.877599,1.72854,-0.598509,-3.51743,-0.357601,1.64347,-5.13383,0.325491,0.335011,0.453796,0.38574,0.557697,0.644593,1.00202,5.44117,5.9695,5.88198,5.97156,5.77111,5.81359,3.94708,0.001
-1.25417,0.996984,0.00300881,10,1023,0,4.86322,0.507481,0.881762,1.69761,-0.612043,-3.47203,-0.346761,1.62444,-5.45817,0.32388,0.334027,0.452302,0.386064,0.557535,0.645123,1.00022,5.82928,5.67861,5.45748,5.97924,5.86497,5.98686,5.96538,0.001
-2.39668,0.726611,0.00300881,7,159,0,4.753,0.506831,0.87948,1.69357,-0.610551,-3.46272,-0.345674,1.61997,-5.44574,0.323966,0.334136,0.452097,0.385785,0.557169,0.64473,0.998536,5.87448,5.75869,5.2241,5.97885,5.98009,5.88543,4.91716,0.001
-3.16251,0.999426,0.00300881,8,511,0,5.71909,0.510911,0.883611,1.68777,-0.6142,-3.4662,-0.348417,1.62516,-5.38031,0.323702,0.334773,0.454589,0.387718,0.556198,0.645184,1.00031,5.71303,5.98796,5.20064,4.38383,5.6367,5.98882,5.94221,0.001
-4.28688,0.8684,0.00300881,8,511,0,6.58139,0.510805,0.881582,1.68387,-0.609502,-3.45911,-0.349944,1.62259,-5.37254,0.323064,0.334103,0.453969,0.387732,0.55707,0.646691,0.999796,5.03585,5.73516,5.78692,4.35865,5.98826,4.8556,5.96796,0.001
-3.55831,0.961572,0.00300881,8,255,0,9.46244,0.506214,0.880772,1.69721,-0.618347,-3.46482,-0.340185,1.61891,-5.49386,0.325657,0.335741,0.452871,0.385492,0.556236,0.645512,0.998142,5.25348,5.56029,5.88204,5.89457,5.66815,5.93526,4.26354,0.001
-1.5992,0.996722,0.00300881,8,255,0,6.06727,0.507976,0.886059,1.69893,-0.618537,-3.47669,-0.345995,1.62733,-5.52563,0.323607,0.334617,0.453876,0.3854,0.556983,0.644906,1.00127,5.6379,5.96926,5.84143,5.85026,5.98737,5.94997,5.1809,0.001
-1.12492,0.962239,0.00300881,10,1023,0,3.08961,0.506172,0.883937,1.70251,-0.619531,-3.4747,-0.342007,1.62369,-6.16224,0.324877,0.335201,0.45295,0.384905,0.557314,0.645791,1.0003,5.89537,5.91434,5.91536,5.46779,5.95053,5.8051,5.94277,0.001
-1.38292,0.9997,0.00300881,8,255,0,2.38259,0.50633,0.883175,1.69938,-0.620632,-3.46868,-0.339874,1.62041,-6.13504,0.325117,0.33519,0.452359,0.385062,0.556974,0.64521,0.999466,5.76247,5.91846,5.51451,5.61601,5.98686,5.9885,5.84614,0.001
-0.877412,0.998342,0.00300881,10,1023,0,4.12139,0.510778,0.890737,1.681,-0.63809,-3.44389,-0.330235,1.61009,-6.67281,0.324837,0.335857,0.453129,0.385485,0.557085,0.645152,1.0003,5.91164,5.44587,5.96797,5.89153,5.98767,5.98827,5.94434,0.001
-1.00884,0.992709,0.00300881,9,511,0,2.70035,0.50977,0.88422,1.68327,-0.621756,-3.44746,-0.339004,1.61302,-6.7341,0.324419,0.335049,0.452798,0.386368,0.558145,0.645154,0.999743,5.98849,5.96137,5.84576,5.89102,5.37525,5.98831,5.95574,0.001
-1.5135,0.906419,0.00300881,10,1023,0,6.7107,0.500307,0.872545,1.73167,-0.587879,-3.51867,-0.362932,1.64453,-6.72923,0.325079,0.334758,0.454034,0.384974,0.557655,0.644453,1.00034,5.78722,5.9872,5.74355,5.53564,5.79806,5.72063,5.93253,0.001
-2.5983,0.959439,0.00300881,8,495,0,3.54052,0.500574,0.872495,1.73018,-0.591383,-3.51604,-0.358562,1.64191,-6.70749,0.325266,0.33399,0.451835,0.385243,0.55706,0.646093,0.999663,5.65158,5.64881,4.86622,5.75557,5.98856,5.57708,5.93205,0.001
-1.19402,0.977568,0.00300881,10,1023,0,4.58977,0.503228,0.874555,1.71593,-0.594844,-3.49911,-0.358313,1.63734,-6.09029,0.324445,0.334528,0.453909,0.385688,0.556359,0.645763,0.999034,5.98882,5.94771,5.82317,5.9606,5.75927,5.82182,5.52189,0.001
-2.44622,0.999922,0.00300881,9,703,0,3.62632,0.50115,0.874932,1.73596,-0.59224,-3.52807,-0.361153,1.6479,-6.06445,0.325509,0.334589,0.453276,0.385559,0.557445,0.644614,1.0017,5.42238,5.96333,5.98717,5.92162,5.90551,5.82573,4.54687,0.001
-4.93512,0.98637,0.00300881,8,255,0,8.33686,0.497904,0.874208,1.74626,-0.594487,-3.53639,-0.357978,1.64858,-6.03727,0.326315,0.33486,0.452329,0.383906,0.557041,0.644752,1.00095,4.2394,5.9878,5.48448,3.94837,5.98881,5.89493,5.54041,0.001
-1.93715,0.955476,0.00300881,8,255,0,8.90072,0.499619,0.871576,1.74197,-0.585928,-3.53802,-0.364829,1.65269,-6.04496,0.325714,0.334517,0.453349,0.385613,0.556186,0.646128,1.00052,5.18238,5.94445,5.9887,5.93974,5.62633,5.54452,5.85606,0.001
-4.03808,0.815765,0.00300881,10,1023,0,7.02383,0.501049,0.866678,1.73103,-0.573686,-3.52521,-0.371508,1.65028,-6.1947,0.32463,0.333758,0.453726,0.387034,0.556662,0.647328,0.999215,5.97163,5.43056,5.91172,5.37494,5.91865,3.69219,5.68078,0.001
-2.08687,0.997284,0.00300881,10,1023,0,5.60763,0.504304,0.881099,1.72032,-0.606751,-3.50949,-0.353796,1.64113,-6.34498,0.324452,0.334473,0.453618,0.385335,0.555802,0.645991,1.00112,5.98879,5.93047,5.94837,5.81432,5.22578,5.66439,5.35893,0.001
-2.61784,0.999995,0.00300881,10,1023,0,5.72133,0.494716,0.86534,1.7608,-0.566993,-3.56257,-0.377147,1.6638,-7.07342,0.32512,0.3338,0.453611,0.384261,0.557259,0.644708,1.00065,5.76065,5.47343,5.95018,4.60312,5.96417,5.87509,5.77611,0.001
-4.69344,0.934608,0.00300881,10,1023,0,7.24526,0.487812,0.849622,1.79975,-0.523015,-3.62749,-0.406809,1.69544,-6.88602,0.324974,0.332296,0.454158,0.385292,0.556285,0.644307,1.00037,5.84852,2.81608,5.64903,5.78792,5.70583,5.60317,5.91998,0.001
-5.01395,0.995716,0.00300881,6,95,0,9.30056,0.487865,0.849316,1.80216,-0.522543,-3.62918,-0.406048,1.69524,-6.86654,0.325616,0.332482,0.45373,0.385721,0.557624,0.646033,1.00132,5.30261,3.26783,5.91007,5.96775,5.81638,5.62926,5.11619,0.001
-4.59071,0.999983,0.00300881,8,479,0,7.19069,0.485341,0.846223,1.812,-0.5186,-3.6408,-0.407411,1.69887,-6.84938,0.32653,0.332852,0.453506,0.385268,0.556637,0.644926,1.00029,3.81481,4.06241,5.97385,5.7726,5.90867,5.95515,5.9465,0.001
-5.49624,0.83196,0.00300881,7,175,0,8.98102,0.485055,0.846639,1.81354,-0.52039,-3.64311,-0.406878,1.69987,-6.85034,0.326921,0.333474,0.454307,0.385082,0.555951,0.645066,1.00003,2.92171,5.09039,5.51457,5.63293,5.39897,5.98173,5.98831,0.001
-6.74131,0.994901,0.00300881,10,1023,0,10.8513,0.482973,0.836522,1.81784,-0.490312,-3.65164,-0.425958,1.70801,-7.13564,0.325264,0.33228,0.455615,0.385798,0.557844,0.645323,0.999464,5.65302,2.77535,3.38669,5.98066,5.66356,5.97934,5.84533,0.001
