# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = m7x469s_model
# start_datetime = 2021-10-05 18:55:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_data_1.R
# init = 2 (Default)
# random
#   seed = 1492737607 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 eeb5e39
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100
# Adaptation terminated
# Step size = 0.68977
# Diagonal elements of inverse mass matrix:
# 0.00812028, 0.00813517, 0.00624313, 0.00747482, 0.00760684, 0.0080585, 0.00519114
-31.5797,0.937582,0.68977,3,7,0,34.0879,0.122246,0.123424,-0.375298,0.0638622,-0.0153384,0.147018,0.877362,-0.377837,-0.0287486,-0.2302,0.725012,0.460809,0.558244,-0.138274,-0.585405,-0.227351,-0.289415,0.550831,0.676799,0.235277,-0.190454,0.30879,0.163941,-0.201123,0.127157,-0.431268,0.0235947,0.157067,0.20497,-0.3768,-0.960278,0.335201,-0.875609,-0.110058,-0.820641,0.381206,0.195349,0.288975,-0.039416,-0.238355,-0.805575,0.741453,0.731431,0.0315475,-0.145624,-0.449594,0.00902822,-0.0320171,0.829016,0.189885,-0.382393,-0.239299,-0.0661862,-0.403399,-0.0200824,0.391729,0.415944,-0.061511,-0.705882,-0.151126,0.34734,0.340064,-0.25389,0.145192,-0.22011,0.0720949,-0.275357,0.188417,-0.672266,0.137212,0.602997,0.161027,0.334266,-0.0899165,0.648412,0.619452,0.319131,0.0422488,0.0295612,-0.392255,-0.421393,0.0112695,0.389659,0.263798,0.848443,-0.0588231,0.300164,-0.259164,0.0748314,-0.445505,0.224736,0.127198,0.278214,-0.0800518,-0.0195143,-0.0252186,0.241053,-0.0108125,0.221284,-0.328094,0.4285,0.258252,0.678416,-0.791026,-0.171102,0.156248,0.85916
-32.7455,0.929636,0.68977,3,7,0,34.3592,0.0466971,0.0886269,-0.319083,0.0623985,-0.068504,0.170836,0.760501,-0.415863,-0.0489,-0.221928,0.56101,0.371383,0.380143,-0.104818,-0.529126,-0.280566,-0.255758,0.438949,0.592824,0.180727,-0.200189,0.176665,0.0182089,-0.314293,0.0489374,-0.297014,-0.0335751,0.0930704,0.104409,-0.30036,-0.89074,0.183399,-0.823766,-0.145193,-0.845698,0.287327,0.0892021,0.208541,0.0392448,-0.319067,-0.894859,0.519302,0.625999,0.0583084,-0.162399,-0.451893,-0.158426,-0.0741702,0.696429,-0.0146301,-0.451558,-0.359336,-0.162117,-0.415981,-0.166578,0.278148,0.299052,-0.141251,-0.737755,-0.214763,0.264618,0.280202,-0.381996,0.0937345,-0.309986,0.0417995,-0.262036,-0.00905317,-0.658754,0.114278,0.411842,0.105419,0.280892,-0.131256,0.504818,0.574524,0.205925,-0.103048,-0.0545487,-0.377678,-0.433602,-0.1207,0.322072,0.24014,0.648339,-0.0359243,0.109616,-0.351635,0.0657929,-0.486979,0.233524,0.051723,0.186055,-0.0459117,0.0430773,-0.130992,0.308111,-0.0555252,0.0817608,-0.334487,0.132017,0.203344,0.657767,-0.615078,-0.171361,0.0318275,0.762336
-32.0061,0.942355,0.68977,3,7,0,34.8461,0.166754,0.379057,-0.474141,-0.0492995,0.0249262,0.0516075,0.881721,-0.428586,-0.133863,-0.734085,1.00213,0.491549,0.58051,-0.620184,-0.757483,0.0545231,-0.880349,0.584584,0.783143,-0.156414,-0.120243,0.764281,-0.0141076,-0.104694,0.187538,-0.168283,0.0718596,0.156092,0.0856996,-0.821705,-1.36128,0.765697,-1.00845,-0.0794707,-0.976851,0.784766,0.500825,0.252045,-0.227922,-0.367524,-0.774525,1.12594,0.773952,-0.746682,-0.125962,-0.499359,0.238484,0.0615569,0.73071,0.619863,0.0189649,0.291391,0.00411738,-0.754943,0.478478,0.621001,0.53553,0.0297335,-0.996834,-0.296936,0.82992,-0.0596952,-0.525151,0.18594,-0.248975,0.0810619,-0.304015,0.20856,-0.652282,0.0264426,0.866467,-0.0785133,-0.121111,-0.26618,0.681982,0.637125,0.246899,-0.096682,0.551943,-0.113526,-0.542762,-0.0189968,0.569358,-0.0273384,1.0409,-0.254237,0.296155,-0.360918,-0.0929877,-0.429496,-0.0178381,-0.13433,0.131411,-0.423639,-0.40298,0.205336,-0.346945,0.000167193,0.263733,-0.566929,0.673839,0.486394,1.00087,-1.26789,-0.485693,0.541709,0.90527
-32.0061,0.645668,0.68977,2,7,0,39.4523,0.166754,0.379057,-0.474141,-0.0492995,0.0249262,0.0516075,0.881721,-0.428586,-0.133863,-0.734085,1.00213,0.491549,0.58051,-0.620184,-0.757483,0.0545231,-0.880349,0.584584,0.783143,-0.156414,-0.120243,0.764281,-0.0141076,-0.104694,0.187538,-0.168283,0.0718596,0.156092,0.0856996,-0.821705,-1.36128,0.765697,-1.00845,-0.0794707,-0.976851,0.784766,0.500825,0.252045,-0.227922,-0.367524,-0.774525,1.12594,0.773952,-0.746682,-0.125962,-0.499359,0.238484,0.0615569,0.73071,0.619863,0.0189649,0.291391,0.00411738,-0.754943,0.478478,0.621001,0.53553,0.0297335,-0.996834,-0.296936,0.82992,-0.0596952,-0.525151,0.18594,-0.248975,0.0810619,-0.304015,0.20856,-0.652282,0.0264426,0.866467,-0.0785133,-0.121111,-0.26618,0.681982,0.637125,0.246899,-0.096682,0.551943,-0.113526,-0.542762,-0.0189968,0.569358,-0.0273384,1.0409,-0.254237,0.296155,-0.360918,-0.0929877,-0.429496,-0.0178381,-0.13433,0.131411,-0.423639,-0.40298,0.205336,-0.346945,0.000167193,0.263733,-0.566929,0.673839,0.486394,1.00087,-1.26789,-0.485693,0.541709,0.90527
-33.9541,0.705988,0.68977,3,7,0,39.0705,0.0998509,0.0849816,-0.270775,0.180653,-0.000301542,0.148766,0.823536,-0.265616,-0.139166,0.0541543,0.670528,0.17016,0.561424,0.24341,-0.534089,-0.157589,-0.0743951,0.299655,0.490103,0.505959,-0.17012,0.261242,0.135389,-0.0162962,-0.158716,-0.451776,0.0106575,0.109831,0.11379,-0.128024,-0.658214,0.286606,-0.831785,-0.0949349,-0.698509,0.448526,0.214881,0.410443,-0.00212831,-0.123061,-0.682675,0.501582,0.644814,-0.0858081,-0.177194,-0.457585,0.0394496,-0.0290676,1.00913,0.082612,-0.485954,-0.360432,0.0175355,-0.275047,-0.20155,0.501449,0.420915,-0.128218,-0.350064,-0.0102569,-0.0239686,0.448831,0.0671528,0.0231242,-0.110642,0.0647094,-0.388518,0.113595,-0.527205,0.0653069,0.47711,0.255673,0.363616,-0.240932,0.522149,0.549344,0.16907,0.0556216,-0.295115,-0.391841,-0.405109,0.214714,0.421045,0.332543,0.654153,0.0378763,0.340777,-0.112672,-0.0668867,-0.250623,0.175044,0.304406,0.287858,0.036251,0.0917273,-0.212844,0.282107,-0.0290915,0.179751,0.00124813,0.379835,0.252089,0.485456,-0.487777,0.104324,-0.0451493,0.525549
-35.6644,0.941698,0.68977,2,3,0,36.4355,0.0597106,0.0723815,-0.248044,0.217994,0.0338374,0.0899351,0.833874,-0.204529,-0.279443,0.102185,0.637263,0.0749221,0.534811,0.229471,-0.590106,-0.142644,-0.0588954,0.225233,0.335508,0.524863,-0.215533,0.203426,0.144402,0.102107,-0.304284,-0.667255,-0.0620012,0.0750103,0.00149417,-0.142336,-0.59357,0.295087,-0.861945,-0.183855,-0.576819,0.386321,0.136694,0.361763,-0.11652,-0.030061,-0.587145,0.437757,0.576817,-0.19846,-0.257051,-0.459558,0.105535,-0.0179144,0.935137,0.0760895,-0.444559,-0.360441,0.00493009,-0.24145,-0.26339,0.45464,0.340018,-0.189647,-0.236026,0.0308916,-0.277555,0.421113,0.210086,-0.119229,-0.0446663,-0.00380974,-0.506345,0.151588,-0.510338,-0.02895,0.477606,0.230298,0.340658,-0.30016,0.472966,0.390899,0.0984711,0.155814,-0.429697,-0.434976,-0.402284,0.26363,0.333021,0.245024,0.572378,-0.0529003,0.400928,-0.0217503,-0.215739,-0.143021,0.100488,0.320795,0.271704,0.000716299,-0.00428674,-0.273062,0.160781,-0.0819329,0.213226,0.0764276,0.462368,0.194175,0.216888,-0.506545,0.0744412,-0.111708,0.393206
