# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = m7x469s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_data_2.R
# init = 2 (Default)
# random
#   seed = 2924501525 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 c83c399
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20
# Adaptation terminated
# Step size = 0.600789
# Diagonal elements of inverse mass matrix:
# 0.0641349, 0.0737274, 0.0704722, 0.0298993
-11.9331,0.906886,0.600789,2,7,0,13.7625,-0.257301,-0.00178607,-0.373992,0.889235,0.0271024,-0.0918861,-0.698099,-0.000352084,-0.263584,-0.0779335,-0.288281,-0.915635,0.0561576,0.458679,-0.0500715,-0.19287,-1.01101,-0.109727,-0.116615,-0.484963,-0.0719755,-0.660902,-0.871652,0.0048485,-0.913635,-3.80137,-1.05033,-1.35836,-1.12815,-1.80558,-1.36031,-0.82542,-2.36267,-0.813829,-3.78658,-1.10756,-1.30146,-0.839717,-0.875387,-1.74393,-1.72904,-0.810139,-0.808267,-0.882802
-14.491,0.805283,0.600789,3,7,0,14.735,0.220975,0.318807,-0.333372,1.48867,0.323792,0.44765,-0.813827,0.449904,0.390721,0.865753,0.365803,-0.560923,0.642347,0.723163,0.257557,0.602726,-0.671473,0.254645,0.481796,0.446085,-0.444743,-0.329904,-0.59955,0.483664,-1.43304,-1.92259,-1.44137,-1.75189,-1.74214,-1.33941,-1.33527,-1.38483,-2.36699,-1.35362,-2.70486,-1.31907,-1.65744,-1.32,-1.51624,-1.33576,-1.88283,-1.32719,-1.32327,-1.32009
-13.6271,1,0.600789,3,7,0,16.1064,-0.405672,-0.168961,-0.654885,0.93988,0.170337,-0.157024,-0.84531,0.0443222,-0.50743,-0.342558,-0.549173,-1.4575,0.0697407,0.918464,0.0338767,-0.460711,-1.61128,-0.0966011,-0.229409,-1.02587,0.348915,-1.01349,-1.34019,0.0383545,-1.03715,-3.70519,-1.19643,-1.40395,-0.98456,-2.1728,-1.67325,-0.925303,-2.27861,-1.06013,-3.73941,-1.3824,-0.904174,-0.887551,-0.886601,-2.61362,-1.21039,-0.981524,-1.0419,-0.91671
-13.8346,1,0.600789,3,7,0,14.7736,0.0488532,0.544904,-0.00287939,1.30709,-0.205255,0.184868,-1.04622,0.0506387,0.347024,0.87491,0.341895,-0.287975,0.292701,-0.176985,-0.201501,0.600931,-0.332142,-0.116473,0.280242,0.775095,-1.3629,-0.279291,-0.420011,0.100212,-1.19716,-2.24474,-1.46516,-1.47322,-1.70388,-1.21437,-1.21484,-1.38447,-2.1432,-1.25882,-2.38245,-1.18956,-1.9063,-1.20539,-1.34639,-1.18719,-3.01885,-1.2073,-1.22229,-1.207
-11.4968,0.875257,0.600789,3,7,0,16.8647,-0.118216,-0.0224872,-0.328169,1.04541,0.141181,0.0217591,-0.463095,0.107258,-0.135178,0.00751486,-0.156659,-0.683153,0.147568,0.518922,0.073296,-0.0828552,-0.765171,0.0176673,-0.00360897,-0.345932,0.0986566,-0.459888,-0.639476,0.10992,-1.09435,-2.91325,-1.03374,-1.46392,-1.29164,-1.59462,-1.26234,-1.04668,-2.22813,-0.981575,-3.37537,-1.12027,-1.55272,-0.969747,-1.05795,-1.49874,-1.45865,-0.966605,-0.970965,-0.992722
-13.2294,0.859354,0.600789,2,3,0,13.5512,-0.587689,0.239092,-0.306549,1.06564,-0.467716,-0.392621,-1.43092,-0.377161,-0.461189,-0.076611,-0.483613,-1.27376,-0.224175,-0.102953,-0.529053,-0.291379,-1.37111,-0.540213,-0.370704,-0.45292,-1.05964,-1.062,-1.29615,-0.351032,-0.984912,-3.68801,-1.79699,-1.12138,-1.10207,-1.68018,-1.55009,-0.99433,-1.71628,-1.06102,-2.24564,-1.26022,-1.10576,-1.18383,-0.985897,-1.60473,-3.11121,-1.10051,-1.10508,-1.2072
-12.6223,0.982514,0.600789,2,7,0,13.8095,-0.520957,0.0757308,-0.184839,1.13908,-0.41643,-0.42026,-0.892299,-0.393992,-0.482134,-0.316361,-0.495034,-0.892971,-0.332091,-0.199624,-0.453961,-0.411563,-0.946213,-0.471426,-0.419046,-0.531121,-0.628051,-0.766129,-0.889845,-0.384457,-1.04936,-3.47012,-1.3092,-1.16352,-1.14556,-1.91451,-1.55595,-1.06731,-1.58848,-1.15293,-2.25486,-1.37134,-1.39985,-1.19133,-1.04976,-1.66773,-2.25261,-1.06812,-1.05483,-1.26464
