# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = m7x469s_model
# start_datetime = 2021-10-05 18:55:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_data_3.R
# init = 2 (Default)
# random
#   seed = 1492737629 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 eeb5e39
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100
# Adaptation terminated
# Step size = 0.689785
# Diagonal elements of inverse mass matrix:
# 0.00813359, 0.00712894, 0.00757927, 0.00668216, 0.00837888, 0.00814285, 0.00633742
-33.6169,0.923104,0.689785,3,7,0,35.6925,-0.00589989,0.144464,-0.300259,0.213489,-0.0243336,0.175263,0.827368,-0.430845,-0.319493,-0.0949188,0.693536,0.0114769,0.489265,0.184784,-0.739008,-0.222306,-0.27383,0.163872,0.454771,0.447069,-0.275604,0.264164,-0.0772085,-0.121284,-0.375126,-0.470484,-0.0988503,-0.00371265,-0.0652558,-0.260447,-0.897213,0.272383,-1.10027,-0.211971,-0.98454,0.53193,0.197896,0.381313,-0.0735816,-0.307698,-0.956664,0.435912,0.631148,-0.412828,-0.313654,-0.665739,-0.0848129,-0.123368,1.07817,-0.0284989,-0.642183,-0.489518,-0.0926446,-0.505187,-0.332595,0.542633,0.388727,-0.285587,-0.547984,-0.15441,-0.108239,0.337458,-0.104463,-0.102859,-0.271043,-0.0232685,-0.582776,-0.0953544,-0.688613,-0.0641459,0.415972,0.144564,0.20428,-0.490881,0.441507,0.555283,-0.00649061,-0.15779,-0.425551,-0.477122,-0.623246,0.120278,0.446525,0.24354,0.595531,-0.0536476,0.206665,-0.288766,-0.246686,-0.37966,0.0604922,0.200788,0.166216,-0.0869013,-0.00906576,-0.394739,0.156748,-0.15125,0.0406428,-0.0868511,0.23068,0.252098,0.556653,-0.630786,0.0145918,-0.160278,0.440466
-33.481,0.793718,0.689785,3,7,0,38.0764,0.158339,0.211321,-0.236541,-0.0335655,0.0343452,-0.00269723,0.902175,-0.118492,-0.0201931,-0.330532,0.584766,0.298815,0.367298,-0.290246,-0.317859,0.140895,-0.417288,0.348467,0.430722,-0.0453465,0.0165657,0.493191,0.0713513,0.0710817,0.160373,-0.0337585,0.108654,0.144772,0.0994514,-0.385692,-0.608659,0.502285,-0.419655,0.0316367,-0.373127,0.484099,0.34669,0.185011,-0.0977069,-0.0876396,-0.242937,0.667379,0.432081,-0.394481,0.00558026,-0.165405,0.251032,0.114659,0.399722,0.450532,0.14896,0.297036,0.0980377,-0.314197,0.376425,0.394283,0.338937,0.103279,-0.399954,-0.0685468,0.493646,-0.00662441,-0.159628,0.149765,-0.0215069,0.100426,-0.0916654,0.214264,-0.226037,0.0552214,0.533677,0.00636292,-0.0426457,-0.0747111,0.402402,0.342713,0.184958,0.0491543,0.388361,0.0421296,-0.191415,0.089546,0.348164,0.00706562,0.595327,-0.0929907,0.249818,-0.0780029,-0.0146042,-0.104208,0.0107292,-0.0119825,0.123016,-0.186022,-0.19612,0.207624,-0.203289,0.0703939,0.22561,-0.213258,0.482447,0.317819,0.528527,-0.614915,-0.199871,0.382326,0.482339
-32.2422,0.974777,0.689785,3,7,0,34.5674,0.190084,0.275744,-0.252068,-2.43755e-05,0.00976688,0.0250971,0.849218,-0.137637,-0.0589906,-0.335119,0.733811,0.246077,0.422091,-0.185516,-0.36499,0.234029,-0.476946,0.317638,0.519414,0.0356743,0.062924,0.645654,-0.0207068,0.113261,0.0697922,0.134125,0.145793,0.161875,0.054036,-0.362352,-0.679662,0.625114,-0.525173,0.0698964,-0.513272,0.725584,0.487153,0.303101,-0.0208313,-0.137287,-0.357964,0.717099,0.535712,-0.614697,0.0177319,-0.229312,0.265531,0.15775,0.609685,0.478123,0.136199,0.318502,0.14001,-0.403435,0.392348,0.589215,0.449421,0.0894122,-0.432669,-0.0698303,0.553586,0.00803641,-0.185042,0.165638,-0.039432,0.155306,-0.139,0.124122,-0.219999,0.0588026,0.588674,0.0307948,-0.0879365,-0.201712,0.434586,0.483771,0.128075,-0.0491075,0.398578,0.119566,-0.266719,0.145263,0.522296,0.0551324,0.648994,-0.0315655,0.23941,-0.113199,-0.060848,-0.0808608,0.0197927,0.0230059,0.126794,-0.168719,-0.151019,0.160335,-0.202394,0.0901875,0.208143,-0.142662,0.451835,0.462646,0.74882,-0.58673,-0.127213,0.402385,0.493375
-32.3966,0.870399,0.689785,3,7,0,36.1008,0.0707489,0.291558,-0.544109,0.00323872,-0.0610912,0.159969,0.835051,-0.650739,-0.180656,-0.707055,0.971975,0.586139,0.541169,-0.582603,-0.927611,-0.259499,-0.80448,0.684206,0.894085,-0.0637029,-0.287636,0.511741,-0.0797494,-0.406408,0.113867,-0.380407,-0.0612158,0.119203,0.0422157,-0.804706,-1.60985,0.537474,-1.31485,-0.249815,-1.31182,0.602178,0.263361,0.208188,-0.140271,-0.543703,-1.27779,1.02081,0.913547,-0.425293,-0.264075,-0.696654,-0.0758243,-0.0591361,0.848178,0.263794,-0.36913,-0.168456,-0.233112,-0.853463,0.0809181,0.477375,0.456023,-0.16843,-1.31103,-0.435182,0.660155,0.101964,-0.75803,0.118371,-0.479399,0.0227602,-0.431833,0.0312252,-0.990058,0.0611911,0.785845,-0.0471945,0.0943727,-0.29332,0.754895,0.775499,0.254598,-0.201739,0.264168,-0.4102,-0.718731,-0.240961,0.513095,0.0938392,1.06696,-0.257746,0.163391,-0.583688,-0.0485021,-0.715707,0.153826,-0.14287,0.156882,-0.343973,-0.267087,-0.0308596,-0.000555496,-0.105605,0.161853,-0.707636,0.389253,0.395709,1.06765,-1.30077,-0.550658,0.30105,1.1562
-34.206,0.735948,0.689785,2,3,0,38.5295,0.10238,0.448237,-0.528009,-0.0180654,0.0633973,0.193727,0.86235,-0.728168,-0.0946061,-0.869337,1.05307,0.261081,0.74177,-0.469793,-0.953074,-0.11598,-1.05702,0.387278,0.88021,-0.0768084,-0.256574,0.855772,-0.0783293,-0.326072,0.13795,-0.116111,0.096057,0.00586937,0.246079,-0.952729,-1.64182,0.668252,-1.27567,-0.00560237,-1.48042,0.948574,0.701998,0.422405,-0.331123,-0.673795,-1.01929,1.17582,0.754475,-0.931506,-0.195459,-0.830068,0.113134,-0.228575,1.17349,0.642425,-0.438663,0.078422,0.056206,-0.992939,0.456874,0.843064,0.74179,0.00273298,-1.13321,-0.432169,1.03637,-0.0334049,-0.594036,0.28343,-0.445612,0.0250105,-0.420651,0.105967,-0.86277,-0.0496327,0.776361,-0.0816921,-0.238847,-0.513195,0.645568,0.814758,0.199477,-0.422101,0.422764,-0.339045,-0.831383,0.0712167,0.709757,0.0657555,1.15704,-0.211094,0.250357,-0.584183,-0.102266,-0.76722,-0.220412,-0.116556,0.0618437,-0.576337,-0.424187,0.0676492,-0.402443,-0.0837034,0.0693812,-0.695699,0.686806,0.441465,1.3277,-1.53742,-0.339404,0.440686,0.738379
-33.6068,0.97666,0.689785,3,7,0,36.7607,0.0971517,0.0557029,-0.242113,0.0230806,-0.0473276,0.0985348,0.810608,-0.22178,0.0265951,-0.130855,0.455192,0.400276,0.315567,-0.112739,-0.318559,-0.148156,-0.137584,0.440116,0.486111,0.131336,-0.0875925,0.165085,0.101316,-0.165976,0.144295,-0.211197,0.0228214,0.145906,0.129947,-0.195913,-0.598761,0.201673,-0.514363,-0.0711946,-0.494287,0.206155,0.0770854,0.155603,0.0656304,-0.141851,-0.560512,0.466831,0.514592,0.153108,-0.0576758,-0.227945,-0.0370026,0.0311509,0.461301,0.0669462,-0.197695,-0.159732,-0.0820093,-0.22619,-0.0341821,0.194843,0.235897,-0.0329637,-0.506102,-0.100278,0.258297,0.239379,-0.241678,0.120672,-0.152257,0.0823144,-0.110034,0.0981333,-0.423756,0.151128,0.38947,0.116148,0.275661,0.0238734,0.447147,0.436636,0.241796,0.0439902,0.0722348,-0.20917,-0.22058,-0.0688161,0.244336,0.197459,0.543172,-0.00724082,0.151974,-0.180894,0.119931,-0.283291,0.247746,0.0653978,0.200929,0.0137925,0.0544857,0.0112664,0.265405,0.0227676,0.156365,-0.226833,0.186288,0.189647,0.478825,-0.425225,-0.139735,0.120055,0.673998
